Open,Close,High,Low,Volume,Date
3.3275,3.415,3.5,3.275,137,646.00,10/05/09
3.3925,3.335,3.405,3.3175,78,613.00,10/02/09
3.4125,3.405,3.46,3.375,75,867.00,10/01/09
3.405,3.44,3.4425,3.355,85,776.00,09/30/09
3.3875,3.41,3.47,3.3625,103,296.00,09/29/09
3.34,3.3875,3.4075,3.29,64,253.00,09/28/09
3.3475,3.34,3.4075,3.2875,112,361.00,09/25/09
3.27,3.365,3.38,3.225,103,359.00,09/24/09
3.25,3.3025,3.37,3.19,97,036.00,09/23/09
3.1625,3.2575,3.2625,3.1525,84,072.00,09/22/09
3.16,3.16,3.175,3.1,79,963.00,09/21/09
3.28,3.18,3.2925,3.1675,68,972.00,09/18/09
3.3525,3.29,3.415,3.2275,97,072.00,09/17/09
3.4425,3.3625,3.4775,3.24,153,010.00,09/16/09
0,3.465,3.4775,0,235,879.00,09/15/09
3.12,3.05,3.165,3.0525,565.00,09/14/09
3.09,3.145,3.1475,3,3,055.00,09/11/09
3.0525,3.095,3.1325,3.05,1,801.00,09/10/09
3.0275,3.055,3.075,3.0075,2,429.00,09/09/09
3.0075,3.0275,3.06,2.9675,4,083.00,09/08/09
3.11,3.005,3.11,3,4,431.00,09/04/09
3.1275,3.11,3.155,3.07,7,962.00,09/03/09
3.125,3.1325,3.135,3.095,11,379.00,09/02/09
